ID,pengalaman,gaji
1315,12.3,35.288000000000004
1373,13.7,37.785
1336,8.9,26.873
1343,6.4,21.824
1400,9.2,29.099
1329,8.8,31.325
1308,13.2,34.419000000000004
1280,2.0,15.798
1416,3.0,11.075
1214,7.6,24.701
1230,2.2,14.224
1340,9.7,28.176
1402,6.3,24.647
1209,5.8,25.840999999999998
1293,16.8,40.174
1233,14.9,38.056
1279,18.8,46.037
1352,13.6,41.531000000000006
1250,17.9,41.31399999999999
1381,7.4,25.516
1214,7.3,29.153000000000002
1385,4.9,17.155
1316,13.1,37.568000000000005
1318,15.9,38.382
1259,13.6,39.577
1322,3.4,16.721
1415,6.1,26.873
1385,11.4,30.076
1412,11.1,31.759
1411,14.8,38.708
1365,1.2,19.000999999999998
1334,11.0,30.836
1291,13.2,36.591
1288,3.7,21.226999999999997
1372,6.9,26.004
1268,19.7,45.385
1347,2.1,18.187
1236,6.5,22.15
1325,11.3,31.215999999999998
1347,14.7,35.396
1415,9.5,33.551
1363,1.4,15.472000000000001
1335,9.3,29.425
1338,6.7,29.099
1250,1.7,16.178
1395,0.8,12.052
1233,12.8,31.65
1387,10.5,28.881999999999998
1320,13.6,35.451
1344,11.6,33.442
1403,13.1,36.211
1417,4.1,15.472000000000001
1321,3.3,22.421
1290,11.1,35.559
1360,18.7,47.666000000000004
1386,12.4,32.899
1386,16.9,36.861999999999995
1257,19.4,45.657
1230,17.4,39.794000000000004
1217,7.4,34.311
1347,17.6,38.708
1274,14.5,30.673000000000002
1296,13.7,32.79
1292,6.4,25.026999999999997
1274,8.0,31.596
1249,8.4,25.733
1236,9.0,30.619
1266,15.5,36.754
1252,3.2,16.232
1381,8.3,28.555999999999997
1293,15.0,30.401999999999997
1321,19.8,44.463
1276,3.0,18.621
1380,10.2,37.242
1227,17.0,39.251
1222,1.7,11.944
1347,2.9,20.575
1389,13.0,35.125
1337,13.1,35.775999999999996
1276,14.7,41.205
1413,8.9,27.904
1403,10.4,30.401999999999997
1223,7.6,25.516
1227,19.3,45.06
1301,1.3,18.187
1418,17.5,41.857
1407,7.7,28.502
1244,3.1,17.21
1360,3.1,17.427
1295,13.8,39.088
1207,14.8,39.631
1249,8.2,28.013
1361,10.8,30.022
1283,11.5,35.342
1201,18.7,44.733999999999995
1215,18.3,42.345
1267,2.9,19.000999999999998
1243,10.2,35.505
1266,12.0,31.108
1411,15.4,37.296
1278,0.0,14.821
1307,9.6,32.628
1375,13.8,34.635999999999996
1293,7.5,28.066999999999997
1367,5.2,19.000999999999998
1342,11.6,31.433000000000003
1421,9.1,30.022
1331,7.5,28.826999999999998
1397,17.9,49.24
1397,3.9,17.535
1317,4.0,17.047
1319,1.7,18.893
1220,10.9,34.799
1366,15.9,37.188
1398,6.6,26.33
1241,9.3,34.202
1369,2.7,17.317999999999998
1416,2.1,17.861
1205,16.7,36.374
1352,15.7,38.871
1348,18.3,43.81100000000001
1271,16.6,43.268
1410,18.5,45.928000000000004
1223,18.2,46.743
1252,16.9,42.997
1297,5.7,17.752
1243,14.5,36.319
1368,15.1,38.491
1279,15.9,39.685
1315,15.8,38.491
1401,2.5,12.758
1312,10.8,35.505
1352,13.4,32.681999999999995
1405,13.9,35.668
1374,19.0,45.928000000000004
1343,8.1,29.153000000000002
1404,2.7,14.875
1286,2.6,17.644000000000002
1407,10.9,26.113000000000003
1373,0.0,16.015
1222,3.4,19.11
1287,17.9,44.516999999999996
1415,3.8,14.277999999999999
1356,12.4,37.731
1352,19.7,49.131
1400,18.8,50.0
1420,15.8,40.228
1208,3.7,18.35
1284,16.6,40.771
1353,5.4,23.344
1316,4.0,19.598
1267,15.4,36.265
1205,9.6,30.51
1243,1.6,12.378
1228,2.1,18.567
1349,9.5,27.199
1280,0.6,13.192
1356,1.3,15.852
1363,12.2,35.613
1333,11.8,33.931
1257,15.7,41.422
1407,17.9,44.788000000000004
1420,20.0,46.526
1241,3.7,18.947
1374,19.3,44.3
1243,17.0,40.88
1419,6.6,21.878
1360,8.3,28.555999999999997
1246,12.5,30.239
1370,1.2,15.472000000000001
1243,17.3,30.619
1205,13.6,35.396
1326,5.7,21.987
1285,19.3,47.937
1215,12.4,38.708
1214,1.1,17.644000000000002
1305,13.9,32.79
1290,12.5,37.622
1387,16.9,42.562
1379,15.5,33.442
1335,10.5,34.256
1413,13.4,37.351
1247,8.4,30.13
1267,2.1,17.644000000000002
1272,10.5,24.919
1249,15.8,37.514
1354,12.3,33.279
1221,5.0,25.081
1275,18.7,38.599000000000004
1280,17.2,42.888000000000005
1317,18.8,47.503
1398,5.9,21.987
1337,17.7,45.494
1391,7.7,27.686999999999998
1225,13.3,40.717
1210,7.7,23.561
1405,13.1,32.519
1297,6.5,25.19
1219,4.4,27.579
1230,17.3,41.802
1202,12.4,34.473
1367,2.4,13.138
1285,7.5,29.967
1363,15.6,35.939
1237,16.4,42.291000000000004
1381,2.8,15.744000000000002
1295,18.0,39.577
1381,16.0,40.010999999999996
1211,15.2,39.685
1408,9.4,29.805
1336,8.6,32.248000000000005
1265,7.4,26.656
1328,7.9,24.104
1260,2.9,10.315
1380,10.1,30.293000000000003
1268,16.0,38.817
1266,3.3,16.395
1380,1.7,21.607
1234,3.1,17.97
1334,7.3,34.311
1277,11.1,34.419000000000004
1290,18.0,42.562
